"Year","Area","Street","Street.2"
2011,"Birmingham","Acocks Green",""
2011,"Birmingham","Adderly St",""
2011,"Birmingham","Alcester Rd, Mosley",""
2011,"Birmingham","Alcester Rd",""
2011,"Birmingham","Alcester Rd Moseley",""
2011,"Birmingham","Alcester Rd Moseley",""
2011,"Birmingham","Alfred St",""
2011,"Birmingham","All Service Club, Mosley",""
2011,"Birmingham","Alum Rock Rd",""
2011,"Birmingham","Alum Rock Rd",""
2011,"Birmingham","Alum Rock Rd",""
2011,"Birmingham","Alum Rock Rd",""
2011,"Birmingham","Arcadian Centre",""
2011,"Birmingham","Arden Rd, Saltley",""
2011,"Birmingham","Asda, Chemsley Wood",""
2011,"Birmingham","Balsahll Heath Park, J/W Brighton Rd",""
2011,"Birmingham","Bamford Rd",""
2011,"Birmingham","Bamford Rd",""
2011,"Birmingham","Beechbrook Ave Sparkhill",""
2011,"Birmingham","Belchers Ln",""
2011,"Birmingham","Belchers Ln",""
2011,"Birmingham","Belchers Ln",""
2011,"Birmingham","Belchers Ln, Bordesley Green",""
2011,"Birmingham","Bell St",""
2011,"Birmingham","Berkley Rd East, Haymills",""
2011,"Birmingham","Birmingham Airport",""
2011,"Birmingham","Birmingham International Railway Station",""
2011,"Birmingham","Bordesley Green",""
2011,"Birmingham","Bordesley Green, Bordesley Green",""
2011,"Birmingham","Bristol Rd",""
2011,"Birmingham","Bristol St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St Birmingham",""
2011,"Birmingham","Buckland End Ln Shard End",""
2011,"Birmingham","Bulls Head Ph, St Marys Row",""
2011,"Birmingham","Bushbury Rd, Kitts Green",""
2011,"Birmingham","Chartice Rd",""
2011,"Birmingham","Chestnut Rd",""
2011,"Birmingham","Church Rd, Stechford",""
2011,"Birmingham","Church Rd, Sheldon",""
2011,"Birmingham","Clifford Rd Dorridge",""
2011,"Birmingham","Clock Ln",""
2011,"Birmingham","Colonial Rd, Bordesley Green",""
2011,"Birmingham","Corporation St,Birmingham",""
2011,"Birmingham","Corporation St",""
2011,"Birmingham","Coventry Rd Small Heath",""
2011,"Birmingham","Coventry Rd, Small Heath, Bham",""
2011,"Birmingham","Coventry Rd",""
2011,"Birmingham","Coventry Rd",""
2011,"Birmingham","Coventry Rd",""
2011,"Birmingham","Coventry Rd",""
2011,"Birmingham","Coventry Rd",""
2011,"Birmingham","Coventry Rd, Small Heath",""
2011,"Birmingham","Coventry Rd, Small Heath",""
2011,"Birmingham","Coventry Rd,Small Heath",""
2011,"Birmingham","Cranes Park Rd",""
2011,"Birmingham","Cranes Park Rd Sheldon",""
2011,"Birmingham","Crossfield Rd",""
2011,"Birmingham","Crossfields Rd Kitts Green",""
2011,"Birmingham","Cxhurch Rd, Stechford, Bham",""
2011,"Birmingham","Digbeth High St",""
2011,"Birmingham","Edgbaston Rd",""
2011,"Birmingham","Edward Rd Moseley",""
2011,"Birmingham","Fighting Cox Ph",""
2011,"Birmingham","Foremans Rd, Sparkhill",""
2011,"Birmingham","Front Office, Kings Heath",""
2011,"Birmingham","Garretts Green Rd, Garretts Green",""
2011,"Birmingham","Giles Close",""
2011,"Birmingham","Giles Close, Stechford",""
2011,"Birmingham","Glazedale Rd",""
2011,"Birmingham","Gospel Farm Rd",""
2011,"Birmingham","Gospel Farm Rd",""
2011,"Birmingham","Gospel Ln",""
2011,"Birmingham","Gospel Ln",""
2011,"Birmingham","Gospel Ln",""
2011,"Birmingham","Gospel Ln, Acocks Green",""
2011,"Birmingham","Grace Church, Sutton Coldfield",""
2011,"Birmingham","Great Hampton St",""
2011,"Birmingham","Green Ln",""
2011,"Birmingham","Greswell Ln Shard End",""
2011,"Birmingham","Harlequin Drive, Mosley",""
2011,"Birmingham","Haslucks Green Rd",""
2011,"Birmingham","Hazeldean Rd",""
2011,"Birmingham","Heartlands Hospital",""
2011,"Birmingham","Heartlands Hospital",""
2011,"Birmingham","Heartlands Hospital A & E",""
2011,"Birmingham","Heartlands Hospital A & E",""
2011,"Birmingham","Heartlands Hospital A & E",""
2011,"Birmingham","Hepben Grove",""
2011,"Birmingham","Herrick Rd",""
2011,"Birmingham","Herrick Rd, Washwood Heath",""
2011,"Birmingham","Herrick Rd, Washwood Heath",""
2011,"Birmingham","High St Solihull",""
2011,"Birmingham","High St Kings Heath",""
2011,"Birmingham","High St Kings Heath",""
2011,"Birmingham","High St, Kings Heath",""
2011,"Birmingham","Hob Moor Rd At Starbank Rd",""
2011,"Birmingham","Holloway Head Bham City Centre",""
2011,"Birmingham","Hollywell Rd",""
2011,"Birmingham","Home Address",""
2011,"Birmingham","Home Address",""
2011,"Birmingham","Homer St",""
2011,"Birmingham","Hunters Moon Public House",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St, Birmingham",""
2011,"Birmingham","Kings Heath High St",""
2011,"Birmingham","Knowle Rd, Small Heath, Bham",""
2011,"Birmingham","Ladypool Rd",""
2011,"Birmingham","Ladypool Rd",""
2011,"Birmingham","Ladywell Walk",""
2011,"Birmingham","Lea Hall Rd",""
2011,"Birmingham","Lea Hall Rd",""
2011,"Birmingham","Lea Village, Stechford",""
2011,"Birmingham","Lenches Close, Mosley",""
2011,"Birmingham","Lime Tree Rd",""
2011,"Birmingham","Lode Ln Hermitage Rd",""
2011,"Birmingham","Long St",""
2011,"Birmingham","Long St Sparkhill",""
2011,"Birmingham","Longbridge Ln",""
2011,"Birmingham","Longmeadow Crescent Shard End, Bham",""
2011,"Birmingham","Maccadown Ln",""
2011,"Birmingham","Masshouse Ln",""
2011,"Birmingham","Meadwaym Stechford",""
2011,"Birmingham","Mickleover Rd, Bromford",""
2011,"Birmingham","Moorcroft Rd",""
2011,"Birmingham","Moseley Rd",""
2011,"Birmingham","Moseley Rd",""
2011,"Birmingham","Moseley Rd",""
2011,"Birmingham","Moseley Rd",""
2011,"Birmingham","Moseley Village",""
2011,"Birmingham","Moseley Village",""
2011,"Birmingham","Moseley Village, Alcester Rd",""
2011,"Birmingham","Mosley All Services Club, Church Rd, Moseley",""
2011,"Birmingham","Nearlands Close Quinton",""
2011,"Birmingham","New St",""
2011,"Birmingham","Northfield High St",""
2011,"Birmingham","O/S Behans, Highfield Rd, Billesley",""
2011,"Birmingham","O/S The Junction, Mosley Village",""
2011,"Birmingham","O/S Washwood Heath Rd",""
2011,"Birmingham","Oakhill Rd, Acocks Green",""
2011,"Birmingham","Opp White Hart Ln Cooks Ln",""
